candidates preference to courses:
candidate      course8      course2      course6      course7     course14      course3      course0      course5      course9     course17     course18      course4      course1     course16     course11     course13     course19     course12     course10     course15
candidate190          0.4          0.5          0.1          0.6  Unqualified          0.2  Unqualified  Unqualified  Unqualified  Unqualified          0.4          0.6  Unqualified          0.8  Unqualified  Unqualified          0.3            0  Unqualified            0
candidate191  Unqualified  Unqualified  Unqualified          0.4  Unqualified  Unqualified          0.6  Unqualified  Unqualified  Unqualified          0.6          0.6  Unqualified  Unqualified          0.6  Unqualified          0.3          0.7          0.2  Unqualified
candidate192          0.7          0.1  Unqualified          0.3          0.6  Unqualified          0.6          0.5          0.7  Unqualified  Unqualified          0.5  Unqualified          0.5          0.7  Unqualified  Unqualified          0.4          0.6  Unqualified
candidate193          0.5  Unqualified          0.5          0.4  Unqualified          0.4  Unqualified          0.5          0.6  Unqualified  Unqualified          0.6          0.1          0.8          0.7  Unqualified          0.5          0.5          0.6          0.9
candidate194          0.5          0.8  Unqualified            0          0.5  Unqualified  Unqualified  Unqualified  Unqualified            0  Unqualified          0.7  Unqualified          0.8  Unqualified          0.8          0.3          0.2          0.1  Unqualified
candidate195  Unqualified  Unqualified          0.5  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.7          0.6  Unqualified  Unqualified          0.5  Unqualified  Unqualified            0  Unqualified
candidate196          0.1            1          0.7            1  Unqualified          0.5  Unqualified  Unqualified            0          0.5  Unqualified  Unqualified          0.1  Unqualified          0.3  Unqualified  Unqualified  Unqualified          0.8  Unqualified
candidate197  Unqualified          0.1  Unqualified  Unqualified            0  Unqualified  Unqualified  Unqualified  Unqualified          0.1  Unqualified          0.8          0.6          0.5  Unqualified          0.9            1          0.7          0.1          0.2
candidate198  Unqualified          0.3            1  Unqualified          0.9  Unqualified  Unqualified  Unqualified  Unqualified          0.8  Unqualified  Unqualified          0.5  Unqualified  Unqualified            1          0.4  Unqualified          0.1          0.3
candidate199  Unqualified  Unqualified          0.9          0.8  Unqualified          0.4          0.7          0.8          0.6          0.5          0.6          0.4          0.3          0.7          0.3          0.5          0.6          0.5            1          0.4
candidate200  Unqualified  Unqualified          0.6          0.8          0.3          0.6          0.1          0.6  Unqualified          0.9  Unqualified          0.6  Unqualified  Unqualified  Unqualified          0.6          0.1  Unqualified          0.1          0.2
candidate201          0.3          0.5  Unqualified            0  Unqualified  Unqualified          0.3  Unqualified          0.5          0.7          0.9  Unqualified          0.4          0.4  Unqualified          0.6          0.1          0.9  Unqualified          0.3
candidate202          0.2          0.2          0.4  Unqualified  Unqualified  Unqualified            0          0.8          0.7          0.8          0.3          0.1          0.4          0.2          0.5  Unqualified          0.9          0.1          0.1          0.9
candidate203  Unqualified          0.9  Unqualified          0.9  Unqualified  Unqualified          0.3          0.5          0.5          0.1          0.2          0.4  Unqualified  Unqualified          0.2  Unqualified          0.9          0.8  Unqualified          0.6
candidate204  Unqualified          0.9            0  Unqualified          0.1          0.7          0.8  Unqualified  Unqualified          0.8  Unqualified  Unqualified  Unqualified          0.2  Unqualified  Unqualified          0.7          0.2          0.4          0.1
candidate205          0.6  Unqualified  Unqualified  Unqualified          0.8          0.5  Unqualified  Unqualified          0.6  Unqualified            0          0.2          0.3  Unqualified  Unqualified  Unqualified          0.2  Unqualified  Unqualified          0.2
candidate206  Unqualified  Unqualified  Unqualified          0.1  Unqualified          0.4          0.7          0.4  Unqualified          0.2  Unqualified  Unqualified  Unqualified          0.5          0.1  Unqualified          0.3          0.3          0.8  Unqualified
candidate207  Unqualified          0.9          0.9  Unqualified  Unqualified          0.1          0.5          0.2  Unqualified  Unqualified  Unqualified  Unqualified          0.6  Unqualified          0.3  Unqualified          0.4          0.7          0.1  Unqualified
candidate208  Unqualified  Unqualified          0.3  Unqualified  Unqualified          0.2          0.1          0.6  Unqualified          0.3  Unqualified          0.7          0.9  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.2  Unqualified
candidate209  Unqualified  Unqualified  Unqualified  Unqualified          0.5  Unqualified  Unqualified  Unqualified          0.2          0.9  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.8  Unqualified          0.6          0.3  Unqualified
candidate210  Unqualified          0.6          0.8  Unqualified          0.6          0.3          0.5  Unqualified          0.3  Unqualified          0.8  Unqualified  Unqualified  Unqualified  Unqualified          0.6  Unqualified          0.9          0.9          0.8
candidate211          0.8  Unqualified  Unqualified          0.5            1          0.8          0.8  Unqualified          0.5          0.1  Unqualified          0.7            0  Unqualified          0.7          0.9  Unqualified          0.5  Unqualified          0.1
candidate212          0.4  Unqualified          0.1  Unqualified          0.3  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.7          0.4  Unqualified            0  Unqualified  Unqualified          0.3          0.5
candidate213          0.3          0.4            0          0.9          0.8            0  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.8  Unqualified          0.9            1  Unqualified  Unqualified            0  Unqualified  Unqualified
candidate214  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.3          0.5  Unqualified          0.2            1  Unqualified          0.7  Unqualified          0.9          0.5  Unqualified          0.8  Unqualified            0          0.8
candidate215  Unqualified  Unqualified  Unqualified          0.1          0.5            0          0.3          0.5  Unqualified  Unqualified  Unqualified  Unqualified          0.1  Unqualified          0.1  Unqualified  Unqualified          0.1  Unqualified          0.3
candidate216  Unqualified          0.6          0.1  Unqualified          0.5            1  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.7          0.5            0          0.7          0.5          0.8          0.6  Unqualified  Unqualified
candidate217  Unqualified          0.6  Unqualified          0.7  Unqualified  Unqualified  Unqualified          0.8          0.9          0.3          0.9  Unqualified  Unqualified          0.4          0.3          0.4  Unqualified          0.9          0.6          0.5
candidate218  Unqualified  Unqualified            0  Unqualified            1  Unqualified  Unqualified          0.5          0.3  Unqualified            1  Unqualified          0.3          0.4            1  Unqualified          0.9          0.9          0.4          0.9
candidate219          0.8          0.6  Unqualified          0.6  Unqualified            1          0.9          0.6          0.9          0.4  Unqualified  Unqualified          0.8  Unqualified          0.8  Unqualified  Unqualified  Unqualified          0.6          0.3
candidate220  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.4          0.7  Unqualified  Unqualified          0.5  Unqualified  Unqualified  Unqualified          0.5  Unqualified          0.5          0.2          0.8          0.5  Unqualified
candidate221  Unqualified          0.7  Unqualified          0.1  Unqualified  Unqualified  Unqualified  Unqualified          0.6  Unqualified  Unqualified  Unqualified  Unqualified          0.4  Unqualified  Unqualified          0.1  Unqualified  Unqualified  Unqualified
candidate222  Unqualified  Unqualified  Unqualified          0.1  Unqualified          0.2  Unqualified          0.6          0.5          0.2  Unqualified  Unqualified  Unqualified          0.5  Unqualified  Unqualified          0.4  Unqualified          0.4          0.3
candidate223  Unqualified  Unqualified  Unqualified            1  Unqualified  Unqualified          0.5          0.6          0.3  Unqualified  Unqualified          0.1  Unqualified          0.2          0.3  Unqualified          0.4  Unqualified  Unqualified  Unqualified
candidate224  Unqualified  Unqualified          0.4  Unqualified  Unqualified          0.5          0.7          0.5  Unqualified          0.2            1          0.8          0.7          0.1          0.1            1            0  Unqualified  Unqualified          0.3
candidate225          0.2          0.3          0.3            0  Unqualified          0.9            1  Unqualified          0.5  Unqualified          0.1  Unqualified          0.3          0.4  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified
candidate226          0.9  Unqualified          0.5  Unqualified          0.9            0  Unqualified          0.6  Unqualified          0.2          0.9          0.4            0  Unqualified          0.5  Unqualified  Unqualified            0  Unqualified  Unqualified
candidate227  Unqualified  Unqualified          0.2          0.3            0          0.2  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.5            1  Unqualified          0.1  Unqualified  Unqualified  Unqualified  Unqualified            1
candidate228  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.4  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.2          0.5  Unqualified            0
candidate229          0.2            0  Unqualified  Unqualified          0.5          0.7          0.5  Unqualified          0.3  Unqualified          0.8            1          0.2            1  Unqualified          0.1  Unqualified            0          0.3          0.2
candidate230          0.4            1  Unqualified          0.5          0.3          0.6  Unqualified          0.2  Unqualified          0.1  Unqualified  Unqualified          0.1  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.4  Unqualified
candidate231  Unqualified  Unqualified  Unqualified          0.7  Unqualified          0.8          0.9          0.1  Unqualified  Unqualified          0.2  Unqualified          0.3  Unqualified  Unqualified  Unqualified          0.7  Unqualified          0.3  Unqualified
candidate232          0.6  Unqualified          0.4  Unqualified  Unqualified          0.9  Unqualified  Unqualified          0.3          0.8  Unqualified  Unqualified          0.6          0.2          0.2            1  Unqualified            1          0.3          0.1
candidate233  Unqualified          0.2          0.9          0.8          0.3          0.1  Unqualified          0.7  Unqualified          0.1          0.7          0.5          0.9          0.5  Unqualified          0.5  Unqualified  Unqualified          0.5  Unqualified
candidate234  Unqualified          0.2          0.2          0.5            0          0.5  Unqualified          0.3          0.1  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.2  Unqualified
candidate235          0.3          0.3  Unqualified          0.9          0.6  Unqualified  Unqualified          0.6            0  Unqualified          0.4  Unqualified  Unqualified  Unqualified  Unqualified          0.6  Unqualified  Unqualified          0.6  Unqualified
candidate236          0.6            1  Unqualified          0.9  Unqualified  Unqualified          0.9  Unqualified          0.5          0.1          0.2          0.7          0.9          0.5  Unqualified          0.2          0.7          0.1            0  Unqualified
candidate237          0.7  Unqualified  Unqualified          0.1  Unqualified          0.5            1  Unqualified          0.7          0.8  Unqualified  Unqualified          0.7          0.4          0.5  Unqualified  Unqualified          0.5          0.4          0.2
candidate238  Unqualified  Unqualified          0.5            1  Unqualified          0.4  Unqualified  Unqualified          0.8          0.3          0.1  Unqualified          0.9  Unqualified  Unqualified  Unqualified  Unqualified          0.9  Unqualified          0.6
candidate239          0.2          0.4  Unqualified          0.3  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.1  Unqualified          0.8  Unqualified  Unqualified  Unqualified          0.6          0.5          0.3          0.2
candidate240  Unqualified  Unqualified  Unqualified            1          0.2          0.4  Unqualified  Unqualified  Unqualified          0.4  Unqualified          0.3  Unqualified  Unqualified  Unqualified          0.3  Unqualified          0.3          0.1          0.4
candidate241  Unqualified          0.4  Unqualified          0.8  Unqualified  Unqualified  Unqualified          0.7          0.5          0.1          0.1          0.5  Unqualified  Unqualified  Unqualified          0.7          0.2          0.7  Unqualified  Unqualified
candidate242  Unqualified          0.3          0.7          0.6  Unqualified          0.4          0.4          0.8          0.1          0.4  Unqualified          0.6  Unqualified          0.7  Unqualified            0          0.9          0.9  Unqualified  Unqualified
candidate243          0.8          0.1            0  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.4          0.1  Unqualified  Unqualified          0.6          0.9  Unqualified          0.3  Unqualified  Unqualified
candidate244          0.7          0.5  Unqualified          0.6  Unqualified          0.6  Unqualified  Unqualified  Unqualified          0.6          0.1  Unqualified            1  Unqualified          0.1  Unqualified          0.2          0.4  Unqualified  Unqualified
candidate245  Unqualified          0.9  Unqualified  Unqualified  Unqualified          0.3          0.3          0.2  Unqualified  Unqualified          0.9          0.9  Unqualified          0.8  Unqualified  Unqualified  Unqualified  Unqualified            1          0.9
candidate246  Unqualified          0.3  Unqualified  Unqualified          0.7  Unqualified          0.1  Unqualified          0.7  Unqualified          0.1          0.5          0.8          0.9          0.1          0.9  Unqualified  Unqualified          0.8  Unqualified
candidate247  Unqualified          0.7  Unqualified  Unqualified  Unqualified          0.6          0.4  Unqualified  Unqualified  Unqualified          0.3          0.2          0.1  Unqualified  Unqualified          0.5  Unqualified          0.4  Unqualified          0.9
candidate248            0          0.2  Unqualified          0.6          0.6            0          0.2          0.2  Unqualified  Unqualified          0.6  Unqualified          0.7          0.5  Unqualified  Unqualified  Unqualified          0.6          0.6  Unqualified
candidate249  Unqualified            1  Unqualified  Unqualified          0.8  Unqualified          0.1  Unqualified  Unqualified          0.7  Unqualified          0.5          0.5          0.3          0.1          0.1          0.7          0.6          0.7  Unqualified
candidate250          0.1          0.5          0.7          0.3  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.2          0.4  Unqualified            1          0.7  Unqualified  Unqualified          0.5  Unqualified          0.9          0.4
candidate251  Unqualified          0.2  Unqualified  Unqualified  Unqualified          0.9          0.8  Unqualified  Unqualified  Unqualified          0.1  Unqualified          0.8          0.6          0.6  Unqualified          0.8          0.7  Unqualified          0.9
candidate252  Unqualified  Unqualified          0.9            1          0.1          0.4          0.7  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified            1          0.3          0.3  Unqualified  Unqualified  Unqualified  Unqualified
candidate253  Unqualified  Unqualified  Unqualified          0.2  Unqualified  Unqualified          0.4  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.2          0.4  Unqualified          0.7          0.9          0.7  Unqualified  Unqualified
candidate254          0.1  Unqualified          0.4  Unqualified          0.4          0.7  Unqualified          0.2  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.7          0.2  Unqualified          0.8          0.6  Unqualified  Unqualified
candidate255          0.8          0.4  Unqualified          0.2          0.7          0.4  Unqualified          0.9          0.6  Unqualified            0  Unqualified  Unqualified  Unqualified          0.9  Unqualified            1          0.7  Unqualified          0.9
candidate256            1  Unqualified  Unqualified  Unqualified          0.1  Unqualified  Unqualified          0.8          0.6          0.6  Unqualified          0.5          0.4          0.9  Unqualified          0.4          0.1            1  Unqualified          0.5
candidate257          0.1  Unqualified  Unqualified          0.5  Unqualified          0.2  Unqualified  Unqualified          0.5  Unqualified            1  Unqualified  Unqualified          0.8  Unqualified          0.6  Unqualified          0.2  Unqualified  Unqualified
candidate258          0.4  Unqualified  Unqualified          0.5          0.2  Unqualified  Unqualified  Unqualified          0.4          0.8            1  Unqualified  Unqualified          0.9          0.5          0.8  Unqualified  Unqualified  Unqualified  Unqualified
candidate259            1          0.4          0.7            0  Unqualified  Unqualified  Unqualified          0.8  Unqualified  Unqualified          0.4  Unqualified  Unqualified          0.7          0.1  Unqualified            0          0.3  Unqualified  Unqualified
candidate260  Unqualified          0.3  Unqualified          0.9  Unqualified  Unqualified  Unqualified          0.1  Unqualified  Unqualified  Unqualified          0.5  Unqualified          0.9  Unqualified  Unqualified  Unqualified  Unqualified          0.9  Unqualified
candidate261          0.7  Unqualified  Unqualified  Unqualified          0.2          0.7  Unqualified  Unqualified  Unqualified  Unqualified          0.1  Unqualified  Unqualified          0.7  Unqualified  Unqualified          0.3          0.2  Unqualified  Unqualified
candidate262  Unqualified  Unqualified  Unqualified  Unqualified          0.3            1          0.6            0  Unqualified  Unqualified  Unqualified  Unqualified          0.1          0.2          0.2  Unqualified          0.1          0.1          0.2          0.6
candidate263          0.7  Unqualified  Unqualified            1  Unqualified          0.4          0.2          0.1          0.3  Unqualified  Unqualified          0.9  Unqualified          0.7  Unqualified  Unqualified  Unqualified  Unqualified            0          0.2
candidate264  Unqualified  Unqualified          0.1  Unqualified  Unqualified  Unqualified  Unqualified          0.9  Unqualified          0.5          0.1          0.9          0.7          0.6  Unqualified  Unqualified  Unqualified          0.4  Unqualified          0.1
candidate265  Unqualified          0.3          0.6  Unqualified  Unqualified          0.3          0.5          0.7          0.3  Unqualified          0.9          0.4          0.5  Unqualified          0.1  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified
candidate266  Unqualified  Unqualified          0.5          0.5  Unqualified          0.9  Unqualified          0.2          0.4          0.1  Unqualified  Unqualified  Unqualified            0  Unqualified  Unqualified  Unqualified          0.8          0.3  Unqualified
candidate267  Unqualified            1  Unqualified          0.6  Unqualified  Unqualified  Unqualified          0.8          0.4          0.4  Unqualified          0.5          0.8          0.3          0.6  Unqualified  Unqualified  Unqualified  Unqualified          0.6
candidate268            1  Unqualified          0.8  Unqualified          0.5  Unqualified          0.7          0.4          0.3          0.8  Unqualified          0.5  Unqualified  Unqualified          0.5  Unqualified          0.4          0.6          0.8  Unqualified
candidate269  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.4  Unqualified          0.6          0.3          0.6          0.9            0  Unqualified  Unqualified  Unqualified  Unqualified          0.1  Unqualified  Unqualified          0.3
candidate270          0.9          0.1            1          0.1  Unqualified  Unqualified          0.5  Unqualified  Unqualified          0.6  Unqualified          0.8  Unqualified            1  Unqualified  Unqualified  Unqualified  Unqualified          0.7  Unqualified
candidate271          0.7  Unqualified  Unqualified          0.4  Unqualified  Unqualified          0.2  Unqualified          0.3  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.6  Unqualified          0.9          0.3
candidate272  Unqualified          0.9          0.7            0          0.2  Unqualified  Unqualified  Unqualified          0.4          0.5  Unqualified  Unqualified  Unqualified          0.9  Unqualified          0.7          0.2          0.7  Unqualified  Unqualified
candidate273          0.4          0.2          0.3  Unqualified          0.1          0.1  Unqualified          0.1          0.2          0.2  Unqualified  Unqualified            1          0.1  Unqualified          0.2  Unqualified          0.5  Unqualified  Unqualified
candidate274          0.1  Unqualified          0.2          0.5          0.4  Unqualified          0.8  Unqualified  Unqualified  Unqualified          0.5          0.5  Unqualified            1  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified
candidate275  Unqualified          0.3          0.6            1  Unqualified  Unqualified            1  Unqualified          0.9  Unqualified  Unqualified          0.3  Unqualified  Unqualified  Unqualified          0.4          0.9          0.9  Unqualified          0.2
candidate276  Unqualified          0.5          0.8  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.4  Unqualified          0.1  Unqualified  Unqualified          0.8          0.5  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified
candidate277          0.3  Unqualified  Unqualified          0.2          0.9          0.1          0.1  Unqualified  Unqualified          0.7          0.1            0  Unqualified          0.5  Unqualified  Unqualified  Unqualified          0.5  Unqualified  Unqualified
candidate278          0.4          0.7  Unqualified  Unqualified          0.5          0.9          0.7  Unqualified          0.4  Unqualified  Unqualified  Unqualified          0.5          0.2  Unqualified          0.2          0.1  Unqualified          0.5  Unqualified
candidate279          0.1          0.8          0.5  Unqualified          0.7  Unqualified          0.7            1          0.3  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.3          0.5          0.4  Unqualified  Unqualified
candidate280          0.8  Unqualified          0.2  Unqualified  Unqualified          0.8          0.2          0.3  Unqualified          0.3          0.2          0.4  Unqualified          0.1          0.2  Unqualified  Unqualified          0.8          0.1          0.4
candidate281  Unqualified          0.4          0.5  Unqualified          0.7  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.1  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.6  Unqualified
candidate282  Unqualified  Unqualified  Unqualified          0.6  Unqualified          0.4          0.2          0.1            1          0.8          0.2            1          0.1  Unqualified  Unqualified          0.6  Unqualified  Unqualified  Unqualified            0
candidate283          0.5  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.6          0.4          0.4          0.4  Unqualified  Unqualified          0.2  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.3          0.8
candidate284  Unqualified  Unqualified          0.8  Unqualified  Unqualified  Unqualified          0.5          0.6          0.2          0.4          0.9  Unqualified          0.1  Unqualified            1          0.4  Unqualified          0.7            1          0.5
candidate285          0.7          0.9  Unqualified          0.4            0          0.1          0.3          0.6  Unqualified          0.6          0.2  Unqualified  Unqualified          0.4          0.3  Unqualified  Unqualified          0.2          0.3          0.9
candidate286          0.1  Unqualified  Unqualified          0.9  Unqualified          0.7          0.5  Unqualified          0.3  Unqualified  Unqualified          0.6  Unqualified          0.3  Unqualified  Unqualified          0.1          0.9  Unqualified  Unqualified
candidate287  Unqualified  Unqualified          0.8          0.7  Unqualified          0.2  Unqualified          0.6          0.2          0.6          0.6          0.3          0.3            0            0          0.9  Unqualified          0.8  Unqualified          0.2
candidate288  Unqualified  Unqualified  Unqualified          0.7          0.1  Unqualified  Unqualified          0.1  Unqualified  Unqualified          0.5  Unqualified  Unqualified          0.9  Unqualified  Unqualified          0.3  Unqualified          0.4          0.9
candidate289          0.8          0.4  Unqualified  Unqualified  Unqualified          0.5  Unqualified  Unqualified          0.4          0.9  Unqualified  Unqualified          0.7          0.1  Unqualified  Unqualified  Unqualified          0.1          0.4  Unqualified
candidate290          0.5  Unqualified  Unqualified  Unqualified  Unqualified          0.9          0.4          0.5  Unqualified          0.8  Unqualified  Unqualified          0.5  Unqualified  Unqualified  Unqualified          0.5  Unqualified  Unqualified  Unqualified
candidate291          0.6  Unqualified  Unqualified            1          0.3  Unqualified  Unqualified  Unqualified          0.4          0.9  Unqualified          0.3  Unqualified  Unqualified  Unqualified          0.9  Unqualified          0.3  Unqualified  Unqualified
candidate292          0.1          0.2          0.8  Unqualified  Unqualified  Unqualified          0.7          0.1  Unqualified  Unqualified  Unqualified          0.6  Unqualified  Unqualified  Unqualified  Unqualified          0.5  Unqualified          0.9          0.1
candidate293  Unqualified  Unqualified          0.4  Unqualified          0.1  Unqualified  Unqualified          0.9  Unqualified  Unqualified          0.4          0.5          0.7          0.5          0.8  Unqualified          0.5          0.4  Unqualified          0.4
candidate294            0  Unqualified  Unqualified  Unqualified          0.3  Unqualified            1            0  Unqualified  Unqualified          0.9          0.4          0.6          0.2          0.4  Unqualified          0.6          0.6  Unqualified          0.7
candidate295          0.3  Unqualified          0.8          0.3          0.3  Unqualified            0  Unqualified          0.9          0.4          0.5          0.1  Unqualified          0.7  Unqualified          0.3          0.8          0.2          0.8  Unqualified
candidate296          0.7            1          0.6  Unqualified          0.6  Unqualified  Unqualified          0.2          0.4          0.9  Unqualified          0.5            0  Unqualified          0.2            0  Unqualified          0.2          0.3  Unqualified
candidate297  Unqualified  Unqualified          0.8  Unqualified  Unqualified          0.2          0.6  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.1          0.8  Unqualified          0.4  Unqualified
candidate298  Unqualified          0.5          0.3  Unqualified  Unqualified  Unqualified          0.5  Unqualified          0.9          0.6  Unqualified          0.4          0.6          0.6  Unqualified  Unqualified          0.4          0.8  Unqualified          0.6
candidate299  Unqualified  Unqualified          0.6          0.2          0.2  Unqualified          0.1  Unqualified          0.9          0.7          0.1  Unqualified  Unqualified  Unqualified  Unqualified          0.6          0.2  Unqualified          0.4          0.2
candidate300  Unqualified            0          0.2          0.8          0.2  Unqualified          0.5  Unqualified  Unqualified          0.3            0  Unqualified  Unqualified  Unqualified  Unqualified          0.7          0.7          0.9  Unqualified          0.2
candidate301  Unqualified  Unqualified  Unqualified          0.9          0.1  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified            0          0.9  Unqualified  Unqualified          0.2          0.8          0.2  Unqualified  Unqualified          0.8
candidate302  Unqualified          0.1  Unqualified          0.3          0.4  Unqualified  Unqualified          0.3  Unqualified          0.3          0.6  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified            1  Unqualified
candidate303  Unqualified            1  Unqualified  Unqualified          0.9          0.2          0.4          0.6  Unqualified          0.6  Unqualified  Unqualified          0.2  Unqualified          0.9  Unqualified  Unqualified  Unqualified          0.3  Unqualified
candidate304  Unqualified  Unqualified          0.8  Unqualified  Unqualified          0.5  Unqualified            1  Unqualified  Unqualified  Unqualified  Unqualified          0.4  Unqualified  Unqualified  Unqualified            1  Unqualified  Unqualified            1
candidate305  Unqualified  Unqualified          0.4  Unqualified  Unqualified          0.1          0.2  Unqualified          0.5          0.6  Unqualified  Unqualified          0.5  Unqualified          0.3          0.6  Unqualified          0.7          0.4  Unqualified
candidate306            1  Unqualified            1          0.4          0.5          0.9          0.7  Unqualified          0.2  Unqualified  Unqualified  Unqualified  Unqualified          0.1          0.1  Unqualified          0.9  Unqualified  Unqualified  Unqualified
candidate307          0.6          0.8          0.7  Unqualified          0.4          0.9          0.1          0.8  Unqualified  Unqualified  Unqualified          0.2          0.4          0.7          0.5          0.8          0.4  Unqualified  Unqualified          0.1
candidate308  Unqualified  Unqualified  Unqualified          0.1          0.7          0.5  Unqualified  Unqualified  Unqualified  Unqualified            1          0.2          0.5          0.9  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified
candidate309          0.6  Unqualified          0.9          0.3          0.3          0.3  Unqualified          0.1            1          0.1          0.7  Unqualified          0.9  Unqualified            1  Unqualified            1          0.6          0.4            0
candidate310  Unqualified  Unqualified  Unqualified            1  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified            1          0.4          0.3          0.2          0.8            1          0.3  Unqualified
candidate311  Unqualified  Unqualified          0.9  Unqualified  Unqualified          0.3  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified            1          0.8  Unqualified          0.2  Unqualified  Unqualified          0.6          0.2
candidate312  Unqualified          0.6  Unqualified          0.9          0.5  Unqualified  Unqualified  Unqualified          0.2          0.6          0.7  Unqualified          0.6  Unqualified          0.2          0.8          0.4  Unqualified  Unqualified  Unqualified
candidate313            1  Unqualified          0.6  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.1          0.4  Unqualified          0.5          0.5          0.4  Unqualified            0          0.6          0.9
candidate314          0.6  Unqualified          0.4          0.2            1  Unqualified  Unqualified          0.3  Unqualified            0            1          0.2  Unqualified          0.7          0.1  Unqualified  Unqualified          0.2          0.1            0
candidate315  Unqualified  Unqualified          0.5  Unqualified  Unqualified          0.3          0.9          0.7  Unqualified  Unqualified  Unqualified          0.6          0.4          0.9  Unqualified  Unqualified          0.8  Unqualified  Unqualified  Unqualified
candidate316          0.6          0.6  Unqualified  Unqualified  Unqualified          0.1          0.2          0.9  Unqualified          0.6  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.2  Unqualified
candidate317            1  Unqualified  Unqualified  Unqualified  Unqualified          0.9          0.1          0.8  Unqualified  Unqualified  Unqualified  Unqualified          0.3          0.1  Unqualified  Unqualified  Unqualified          0.2  Unqualified          0.4
candidate318          0.5            1          0.7  Unqualified          0.2  Unqualified  Unqualified          0.6          0.7  Unqualified  Unqualified            1          0.2  Unqualified  Unqualified          0.3            0  Unqualified  Unqualified  Unqualified
candidate319  Unqualified  Unqualified  Unqualified            1  Unqualified          0.8  Unqualified  Unqualified  Unqualified          0.5          0.1          0.6  Unqualified  Unqualified  Unqualified  Unqualified          0.5  Unqualified            1  Unqualified
candidate320  Unqualified          0.9  Unqualified  Unqualified          0.5          0.9            1          0.9  Unqualified  Unqualified  Unqualified          0.6          0.9  Unqualified          0.8          0.5  Unqualified  Unqualified          0.8          0.8
candidate321  Unqualified          0.7  Unqualified          0.5          0.6  Unqualified          0.9  Unqualified  Unqualified          0.3          0.5          0.7          0.7          0.7  Unqualified  Unqualified          0.6          0.5          0.9          0.4
candidate322  Unqualified  Unqualified  Unqualified          0.7  Unqualified  Unqualified          0.5          0.5  Unqualified  Unqualified          0.3          0.5  Unqualified          0.2  Unqualified  Unqualified          0.1          0.2          0.1  Unqualified
candidate323  Unqualified          0.8  Unqualified  Unqualified          0.1          0.3          0.9          0.9          0.3  Unqualified          0.4          0.7  Unqualified          0.8  Unqualified  Unqualified            1  Unqualified          0.5          0.2
candidate324  Unqualified  Unqualified          0.4  Unqualified  Unqualified  Unqualified  Unqualified          0.4  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.6          0.2          0.6  Unqualified          0.2  Unqualified          0.5
